Users,                                                                Data for Call Option                                                               ,,,,,,,"Time to maturity
 (in days)",Implied Volatility,,,,
,Ticker symbol,Date,Price,CE Expiry,Strike Price,Option Price,"# of 
contracts",,Brenner & Subrahmanyam,Actual,1-(K/S)e[−r(T−t)],Difference,
Anindya Goswami,Nifty 50,21/03/2018,10155.25,28/06/2018,10500,181,64,99,8.56%,9.99%,-0.006,-1.43%,
Anindya Goswami,Nifty 50,23/03/2018,9998.05,28/06/2018,10200,262.9,5,97,12.75%,11.16%,0.007,1.59%,
Anindya Goswami,Nifty 50,27/03/2018,10184.15,28/06/2018,10400,211.5,6,93,10.29%,9.17%,0.004,1.12%,
Anindya Goswami,Nifty 50,03/04/2018,10245,28/06/2018,10500,201.1,448,86,10.11%,10.40%,-0.001,-0.29%,
Group 5,Nifty 50,03/01/2017,8192.25,23/02/2017,8200,195.2,2751,51,15.94%,16.28%,0.013,-0.34%,
Group 5,Nifty 50,21/02/2017,8907.85,30/03/2017,8900,156.05,20549,37,13.76%,13.45%,0.011,0.31%,
Group 5,Nifty 50,25/01/2017,8602.75,30/03/2017,8600,205.8,4393,64,14.28%,14.23%,0.018,0.05%,
Group 5,Nifty 50,06/02/2017,8801.05,30/03/2017,8800,180,5513,52,13.55%,13.55%,0.014,0.00%,
Group 5,Nifty 50,21/02/2017,8907.85,27/04/2017,8900,221.45,321,65,14.73%,14.51%,0.019,0.22%,
Group 5,Nifty 50,27/02/2017,8896.7,27/04/2017,8900,201.05,1239,59,14.05%,14.20%,0.016,-0.15%,
Group 5,Nifty 50,02/03/2017,8899.75,27/04/2017,8900,190,1805,56,13.63%,13.68%,0.015,-0.05%,
Group 5,Nifty 50,03/03/2017,8897.55,27/04/2017,8900,195.7,1728,55,14.17%,14.29%,0.015,-0.12%,
Group 5,Nifty 50,24/03/2017,9108,25/05/2017,9100,145.9,7119,62,9.72%,9.48%,0.018,0.24%,
Group 5,Nifty 50,07/04/2017,9198.3,25/05/2017,9200,169,1816,48,12.67%,12.76%,0.013,-0.09%,
Group 5,Nifty 50,10/05/2017,9407.3,29/06/2017,9400,144.3,5467,50,10.36%,10.13%,0.014,0.23%,
Group 5,Nifty 50,12/05/2017,9400.9,29/06/2017,9400,134.9,5499,48,9.89%,9.88%,0.013,0.01%,
Group 5,Nifty 50,15/05/2017,9445.4,29/06/2017,9450,115,8,45,8.67%,8.88%,0.012,-0.21%,
Group 5,Nifty 50,19/04/2017,9103.5,29/06/2017,9100,225,82,71,14.01%,13.94%,0.020,0.07%,
Group 5,Nifty 50,25/05/2017,9509.75,27/07/2017,9500,156.05,1100,63,9.87%,9.59%,0.018,0.28%,
Group 5,Nifty 50,26/05/2017,9595.1,27/07/2017,9600,141.05,2983,62,8.92%,9.34%,0.016,-0.42%,
Group 5,Nifty 50,29/05/2017,9604.9,27/07/2017,9600,167.9,7071,59,10.87%,10.75%,0.017,0.12%,
Group 5,Nifty 50,06/01/2017,8243.8,23/02/2017,8250,111.9,0,48,9.36%,9.64%,0.012,-0.28%,
Group 5,Nifty 50,08/06/2017,9647.25,27/07/2017,9650,155,1,49,10.96%,11.09%,0.013,-0.13%,
Group 5,Nifty 50,13/06/2017,9606.9,27/07/2017,9600,148.4,2521,44,11.12%,10.90%,0.013,0.22%,
Group 5,Nifty 50,12/01/2017,8407.2,23/02/2017,8400,181.75,5868,42,15.93%,15.67%,0.012,0.26%,
Group 5,Nifty 50,28/06/2017,9491.25,31/08/2017,9500,191,438,64,12.01%,12.32%,0.016,-0.31%,
Group 5,Nifty 50,29/06/2017,9504.1,31/08/2017,9500,190,496,63,12.03%,11.94%,0.018,0.09%,
Group 5,Nifty 50,27/06/2017,9511.4,31/08/2017,9500,202.05,444,65,12.58%,12.26%,0.019,0.32%,
Group 5,Nifty 50,28/03/2017,9100.8,25/05/2017,9100,146.25,16146,58,10.08%,10.08%,0.016,0.00%,
Group 3,Nifty 50,04/01/2016,7791.3,25/02/2016,8000,103,5742,52,8.76%,,-0.012,,
Group 3,Nifty 50,01/01/2016,7963.2,25/02/2016,8000,165.05,2436,55,13.35%,10.45%,0.010,2.90%,
Group 3,Nifty 50,04/01/2016,7791.3,25/02/2016,7800,197.45,1726,52,16.79%,17.19%,0.013,-0.40%,
Group 3,Nifty 50,05/01/2016,7784.65,25/02/2016,7800,189,4269,51,16.24%,16.92%,0.012,-0.68%,
Group 3,Nifty 50,06/01/2016,7741,25/02/2016,8000,,,50,0.00%,,-0.019,,
Group 3,Nifty 50,07/01/2016,7568.2,25/02/2016,7600,192.05,4376,49,17.31%,18.73%,0.009,-1.42%,
